origen,destino,distancia
C0_N0,C0_N21,13.13
C0_N0,C0_N52,18.6
C0_N0,C0_N62,48.15
C0_N1,C0_N27,68.82
C0_N1,C0_N51,65.58
C0_N1,C0_N7,63.22
C0_N1,C0_N21,41.43
C0_N2,C0_N0,14.68
C0_N2,C0_N49,32.99
C0_N2,C0_N33,17.36
C0_N2,C0_N58,9.54
C0_N3,C0_N54,14.6
C0_N3,C0_N89,34.22
C0_N3,C0_N93,22.31
C0_N3,C0_N71,9.1
C0_N4,C0_N91,24.1
C0_N4,C0_N62,45.38
C0_N4,C0_N19,27.55
C0_N4,C0_N24,21.0
C0_N4,C0_N37,39.39
C0_N5,C0_N7,27.65
C0_N5,C0_N74,22.83
C0_N5,C0_N94,22.63
C0_N6,C0_N7,55.33
C0_N6,C0_N95,70.07
C0_N6,C0_N40,22.68
C0_N6,C0_N7,55.33
C0_N7,C0_N61,30.84
C0_N7,C0_N64,27.03
C0_N7,C0_N67,31.8
C0_N7,C0_N20,15.03
C0_N8,C0_N10,8.09
C0_N8,C0_N23,18.09
C0_N8,C0_N76,11.36
C0_N9,C0_N30,48.72
C0_N9,C0_N51,66.45
C0_N9,C0_N15,63.27
C0_N9,C0_N72,53.05
C0_N9,C0_N31,9.39
C0_N10,C0_N76,12.37
C0_N10,C0_N5,14.82
C0_N10,C0_N79,33.4
C0_N10,C0_N53,42.12
C0_N11,C0_N74,16.62
C0_N11,C0_N72,51.81
C0_N11,C0_N66,17.55
C0_N11,C0_N40,57.89
C0_N11,C0_N33,27.31
C0_N12,C0_N85,42.88
C0_N12,C0_N91,19.27
C0_N12,C0_N40,49.72
C0_N13,C0_N33,43.39
C0_N13,C0_N50,28.53
C0_N13,C0_N16,57.51
C0_N14,C0_N82,68.3
C0_N14,C0_N38,48.49
C0_N14,C0_N58,34.8
C0_N14,C0_N40,52.76
C0_N14,C0_N96,72.45
C0_N15,C0_N1,50.0
C0_N15,C0_N58,41.93
C0_N15,C0_N79,79.75
C0_N16,C0_N12,29.07
C0_N16,C0_N9,60.91
C0_N16,C0_N68,32.75
C0_N16,C0_N27,39.48
C0_N16,C0_N64,25.02
C0_N17,C0_N16,57.83
C0_N17,C0_N44,48.03
C0_N17,C0_N8,30.6
C0_N17,C0_N31,8.4
C0_N18,C0_N36,30.25
C0_N18,C0_N20,40.0
C0_N18,C0_N56,18.5
C0_N18,C0_N69,52.81
C0_N19,C0_N38,14.48
C0_N19,C0_N78,13.28
C0_N19,C0_N83,8.9
C0_N19,C0_N67,39.58
C0_N19,C0_N1,31.59
C0_N20,C0_N70,29.73
C0_N20,C0_N38,3.76
C0_N20,C0_N84,35.24
C0_N20,C0_N13,41.94
C0_N20,C0_N17,43.41
C0_N21,C0_N14,39.84
C0_N21,C0_N13,31.12
C0_N21,C0_N95,41.82
C0_N21,C0_N70,40.45
C0_N22,C0_N34,37.5
C0_N22,C0_N36,33.2
C0_N22,C0_N77,31.5
C0_N23,C0_N91,23.55
C0_N23,C0_N43,20.52
C0_N23,C0_N26,12.35
C0_N24,C0_N81,14.01
C0_N24,C0_N33,4.99
C0_N24,C0_N64,7.88
C0_N24,C0_N62,53.32
C0_N24,C0_N32,9.54
C0_N25,C0_N11,55.27
C0_N25,C0_N81,49.83
C0_N25,C0_N54,57.64
C0_N26,C0_N5,38.26
C0_N26,C0_N0,39.07
C0_N26,C0_N42,49.85
C0_N26,C0_N98,64.71
C0_N27,C0_N81,37.93
C0_N27,C0_N33,30.11
C0_N27,C0_N20,23.45
C0_N28,C0_N56,47.57
C0_N28,C0_N70,30.56
C0_N28,C0_N90,17.43
C0_N28,C0_N54,25.5
C0_N28,C0_N71,22.29
C0_N29,C0_N14,37.32
C0_N29,C0_N9,36.59
C0_N29,C0_N88,54.2
C0_N30,C0_N69,16.97
C0_N30,C0_N4,52.17
C0_N30,C0_N47,59.6
C0_N31,C0_N70,79.98
C0_N31,C0_N18,10.69
C0_N31,C0_N55,44.33
C0_N31,C0_N16,66.0
C0_N31,C0_N5,35.94
C0_N32,C0_N46,18.32
C0_N32,C0_N5,9.59
C0_N32,C0_N45,22.6
C0_N32,C0_N26,31.87
C0_N33,C0_N31,52.04
C0_N33,C0_N85,33.76
C0_N33,C0_N13,43.39
C0_N33,C0_N45,34.41
C0_N33,C0_N99,55.05
C0_N34,C0_N52,32.14
C0_N34,C0_N79,36.36
C0_N34,C0_N95,11.39
C0_N34,C0_N19,49.43
C0_N34,C0_N30,72.28
C0_N35,C0_N22,19.27
C0_N35,C0_N52,25.62
C0_N35,C0_N3,17.17
C0_N36,C0_N94,22.99
C0_N36,C0_N42,39.89
C0_N36,C0_N52,41.13
C0_N37,C0_N94,36.86
C0_N37,C0_N31,20.71
C0_N37,C0_N34,58.06
C0_N37,C0_N20,31.51
C0_N37,C0_N89,32.41
C0_N38,C0_N48,47.88
C0_N38,C0_N4,13.91
C0_N38,C0_N60,38.82
C0_N39,C0_N25,52.01
C0_N39,C0_N58,6.25
C0_N39,C0_N44,44.08
C0_N40,C0_N29,73.59
C0_N40,C0_N28,62.24
C0_N40,C0_N3,44.13
C0_N40,C0_N84,65.95
C0_N41,C0_N51,25.97
C0_N41,C0_N42,35.0
C0_N41,C0_N35,26.63
C0_N42,C0_N98,16.33
C0_N42,C0_N35,17.78
C0_N42,C0_N44,20.38
C0_N43,C0_N65,46.86
C0_N43,C0_N51,31.06
C0_N43,C0_N86,10.27
C0_N43,C0_N68,7.78
C0_N43,C0_N42,23.55
C0_N44,C0_N14,55.29
C0_N44,C0_N33,30.55
C0_N44,C0_N22,17.51
