origen,destino,distancia
N0_0,N0_1,104.22
N0_1,N0_0,107.36680957353732
N0_0,N1_0,92.62
N1_0,N0_0,86.371049223629
N0_1,N0_2,109.46
N0_2,N0_1,104.97013935833833
N0_1,N1_1,105.73
N1_1,N0_1,115.28084743130592
N0_2,N0_3,88.26
N0_2,N1_2,97.06
N1_2,N0_2,101.56329447528681
N0_3,N0_4,99.3
N0_4,N0_3,91.21905905166044
N0_3,N1_3,90.18
N1_3,N0_3,92.22969627414814
N0_4,N0_5,109.59
N0_4,N1_4,111.92
N1_4,N0_4,104.42129720755068
N0_4,N1_5,137.07
N0_5,N0_6,93.95
N0_5,N1_5,97.88
N0_6,N0_7,107.65
N0_6,N1_6,102.02
N1_6,N0_6,106.55046548576209
N0_6,N1_7,155.6
N0_7,N0_8,101.25
N0_7,N1_7,102.87
N0_8,N0_9,89.13
N0_8,N1_8,96.95
N1_8,N0_8,103.53977884895718
N0_9,N0_10,113.83
N0_10,N0_9,112.18187722720911
N0_9,N1_9,104.26
N0_10,N0_11,89.63
N0_11,N0_10,84.24637047844072
N0_10,N1_10,103.36
N0_11,N0_12,104.35
N0_11,N1_11,94.11
N0_11,N1_12,151.65
N0_12,N0_13,96.76
N0_13,N0_12,94.77578812832921
N0_12,N1_12,94.57
N1_12,N0_12,97.61591159546595
N0_13,N0_14,111.17
N0_14,N0_13,104.16364905753188
N0_13,N1_13,104.05
N1_13,N0_13,101.33224864723378
N0_14,N0_15,102.52
N0_14,N1_14,85.35
N1_14,N0_14,80.67695572442513
N0_15,N0_16,105.01
N0_15,N1_15,93.04
N1_15,N0_15,96.15625308757606
N0_16,N0_17,91.63
N0_17,N0_16,92.38959448406636
N0_16,N1_16,107.73
N1_16,N0_16,109.66324592587345
N0_17,N0_18,101.73
N0_18,N0_17,108.2082725016509
N0_17,N1_17,102.71
N1_17,N0_17,103.43953705087117
N0_17,N1_18,153.51
N0_18,N0_19,99.18
N0_19,N0_18,106.75048615376798
N0_18,N1_18,101.79
N1_18,N0_18,93.21836690330079
N0_18,N1_19,134.43
N0_19,N0_20,89.42
N0_20,N0_19,89.45758269512429
N0_19,N1_19,88.74
N1_19,N0_19,94.07239257611873
N0_20,N0_21,105.3
N0_21,N0_20,97.30313628234943
N0_20,N1_20,98.11
N1_20,N0_20,91.69123120440904
N0_20,N1_21,149.35
N0_21,N0_22,98.91
N0_22,N0_21,105.01196998913964
N0_21,N1_21,110.81
N0_22,N0_23,100.9
N0_23,N0_22,99.59623569484602
N0_22,N1_22,114.13
N1_22,N0_22,117.03406552041673
N0_22,N1_23,141.61
N0_23,N0_24,102.3
N0_23,N1_23,98.0
N1_23,N0_23,106.11780916321231
N0_24,N0_25,97.04
N0_25,N0_24,95.04786573048136
N0_24,N1_24,88.4
N1_24,N0_24,84.44323049596018
N0_25,N0_26,114.56
N0_26,N0_25,121.12544823682191
N0_25,N1_25,110.87
N1_25,N0_25,111.37029001971408
N0_26,N0_27,93.76
N0_27,N0_26,87.16304154873468
N0_26,N1_26,102.33
N1_26,N0_26,107.61795161989514
