origen,destino,distancia
N0,N562,3.03
N0,N569,6.99
N0,N250,19.67
N0,N1161,19.02
N1,N934,17.03
N1,N39,21.49
N1,N820,24.2
N1,N1015,43.68
N1,N440,33.19
N2,N90,8.27
N2,N186,9.48
N2,N642,19.95
N3,N1254,14.64
N3,N909,15.52
N3,N951,20.92
N3,N530,23.04
N3,N1065,25.99
N3,N599,22.68
N4,N1187,9.03
N4,N246,12.21
N4,N148,22.59
N4,N1271,38.08
N4,N103,38.88
N5,N846,21.22
N5,N1461,19.38
N5,N1067,28.53
N5,N208,38.28
N5,N1077,48.52
N6,N171,5.5
N6,N989,12.35
N6,N725,16.78
N6,N1081,18.69
N6,N264,49.9
N6,N128,50.83
N7,N976,11.05
N7,N533,15.14
N7,N982,24.93
N7,N1144,38.4
N8,N958,18.47
N8,N814,22.09
N8,N1028,25.73
N8,N1368,32.09
N8,N882,43.27
N8,N1127,37.06
N9,N1226,32.78
N9,N903,44.65
N9,N752,37.81
N9,N1318,39.5
N9,N1100,38.64
N9,N1343,43.73
N10,N1453,0.73
N10,N1392,5.78
N10,N1200,9.59
N10,N1106,18.19
N11,N131,24.5
N11,N1301,28.25
N11,N544,34.74
N12,N1130,9.67
N12,N1257,13.2
N12,N648,37.37
N12,N1469,35.94
N13,N1298,7.33
N13,N640,24.08
N13,N1192,28.14
N13,N1387,35.35
N13,N1202,43.47
N13,N812,34.0
N14,N277,3.68
N14,N624,15.13
N14,N1199,11.98
N14,N18,27.9
N15,N963,7.25
N15,N859,9.59
N15,N471,16.32
N15,N1106,22.64
N16,N467,3.15
N16,N501,10.72
N16,N727,22.58
N16,N1013,27.71
N16,N1184,25.79
N16,N896,43.81
N17,N1075,0.82
N17,N1498,6.16
N17,N818,12.76
N18,N561,12.14
N18,N1199,18.85
N18,N14,18.81
N18,N624,28.22
N18,N277,28.61
N19,N1315,7.62
N19,N323,9.88
N19,N567,14.08
N19,N1356,25.67
N19,N277,30.51
N19,N361,21.71
N20,N1403,9.69
N20,N234,15.54
N20,N938,18.4
N21,N1001,15.03
N21,N74,31.55
N21,N518,38.04
N21,N1136,37.75
N21,N255,40.39
N22,N1460,9.53
N22,N304,14.88
N22,N1126,19.96
N22,N1405,20.68
N23,N821,12.4
N23,N699,16.54
N23,N1471,25.6
N24,N1160,26.38
N24,N977,28.85
N24,N204,34.5
N25,N42,28.82
N25,N993,45.34
N25,N236,42.22
N26,N129,4.38
N26,N1039,6.97
N26,N985,10.35
N26,N96,19.4
N26,N372,21.07
N26,N765,30.12
N27,N458,14.88
N27,N1058,19.45
N27,N865,23.04
N27,N337,23.64
N27,N1416,23.9
N28,N1048,9.88
N28,N926,18.57
N28,N1487,39.61
N28,N122,40.12
N28,N406,36.37
N28,N1021,31.74
N29,N636,8.76
N29,N588,11.84
N29,N1278,18.93
N29,N1206,26.14
N29,N379,30.77
N30,N75,9.97
N30,N785,19.61
N30,N377,20.1
N30,N451,19.43
N31,N238,23.98
N31,N108,31.93
N31,N855,30.32
N31,N116,37.16
N31,N185,38.86
N31,N863,40.46
N32,N664,13.41
N32,N239,15.56
N32,N1229,27.65
N33,N714,25.5
N33,N980,33.67
N33,N207,31.96
N33,N485,30.12
N33,N1493,35.62
N33,N325,56.34
N34,N1400,6.99
N34,N619,13.76
N34,N359,16.16
N35,N907,27.38
N35,N1029,30.21
N35,N883,35.41
N35,N789,33.81
N36,N511,15.48
N36,N731,23.18
N36,N770,37.07
N36,N1465,35.72
N36,N1366,33.6
N36,N745,32.76
N37,N174,15.12
N37,N889,21.3
N37,N972,23.89
N37,N653,32.91
N38,N1419,21.24
N38,N627,22.52
N38,N768,19.1
N38,N326,37.7
N38,N1103,43.23
N39,N820,2.61
N39,N934,11.68
N39,N440,14.94
N39,N763,15.83
N39,N1,24.47
